id,id_поста,дата_поста,день_недели,количество_лайков,текст_поста
96,1089,2022-11-18 10:32:32,5,2,[Текст отсутствует]
97,1087,2022-11-12 11:28:48,6,1,👍
98,1086,2022-11-05 21:13:11,6,3,👌
99,1085,2022-10-31 18:33:07,1,10,"Первая картина начинающего режиссера Ярослава Попова и моя роль «оружейника» 
Вышло неплохо 👌 
😄😄😄"
100,1084,2022-10-22 18:04:04,6,4,💪🏼💪🏼💪🏼
101,1083,2022-10-05 21:47:37,3,1,Песня шедевр конечно 👌
102,1078,2022-07-31 21:45:33,7,35,[Текст отсутствует]
103,1072,2022-07-07 12:58:19,4,19,"За небольшой период [club169570833|ФК «Казачок» Воронеж | FC Kazatchok] прошёл путь от команды, которая проигрывает в каждом матче, до боеспособного коллектива, готового дать бой любому сопернику и не только на футбольном поле. За столь короткое время клуб объединил вокруг себя единомышленников, необыкновенных личностей, готовых толкать Казачок к новым вершинам! Вместе мы сила 💪 и уверен, что главные свершения и достижения клуба ещё впереди! [id146226190|Сергей Казаков] [id158340846|Светлана Папушникова] [id447537068|Julia Pavlova] [id163123205|Сергей Добровольский] [id455851517|Виолетта Идлин] [id53028296|Alexander Kopytin] и это далеко не полный список имён, причастных к совершенствованию [club169570833|ФК «Казачок» Воронеж | FC Kazatchok]. Дальше —больше 😉 эта история только начинается!"
104,1068,2022-07-03 17:38:03,7,30,[Текст отсутствует]
105,1067,2022-06-12 12:50:17,7,0,[Текст отсутствует]
106,1064,2022-05-10 01:07:36,2,30,[Текст отсутствует]
107,1062,2022-04-23 21:57:55,6,5,"Надеюсь взаимоотношения наладятся, даже несмотря на такой шаг со стороны клуба - этот период был крутым и запомнится навсегда!"
108,1061,2022-04-23 21:49:14,6,2,Desert Rose
109,1060,2022-04-09 22:25:57,6,12,Корпоратив в банке УРАЛСИБ прошёл успешно! Малый бизнес рулит )
110,1056,2022-04-02 23:22:24,6,18,[Текст отсутствует]
111,1053,2022-03-16 14:36:57,3,6,Ответные меры )
112,1050,2022-01-06 16:54:19,4,1,[Текст отсутствует]
113,1048,2021-12-25 15:57:23,6,23,[Текст отсутствует]
114,1043,2021-02-22 19:02:17,1,34,[Текст отсутствует]
115,1042,2021-02-22 18:58:26,1,6,Когда выбиваешь страйки)
116,1041,2021-01-17 20:37:41,7,7,[Текст отсутствует]
117,1013,2019-08-04 11:32:29,7,65,[Текст отсутствует]
118,1012,2019-07-26 12:00:58,5,14,[Текст отсутствует]
119,1010,2019-06-24 06:36:57,1,4,[Текст отсутствует]
120,998,2019-04-03 20:37:33,3,9,Подпишите петицию
121,956,2018-07-17 12:41:57,2,40,[Текст отсутствует]
122,952,2018-07-01 22:29:16,7,3,[Текст отсутствует]
123,911,2017-12-27 20:29:29,3,3,Разделите с друзьями итоги года
124,819,2016-07-31 23:04:52,7,133,[Текст отсутствует]
125,645,2014-08-31 12:10:09,7,10,[Текст отсутствует]
126,637,2014-07-27 22:11:08,7,13,[Текст отсутствует]
127,634,2014-07-06 20:19:28,7,56,[Текст отсутствует]
128,614,2014-03-23 22:51:00,7,12,[Текст отсутствует]
129,612,2014-01-18 12:01:58,6,9,[Текст отсутствует]
130,611,2014-01-07 19:05:08,2,1,http://youtu.be/jDwwO6BBj_E
131,610,2014-01-04 17:05:58,6,8,На катке
132,605,2013-12-24 19:01:12,2,7,Это норма.
133,596,2013-11-04 11:46:58,1,29,[Текст отсутствует]
134,574,2013-08-20 12:39:55,2,7,[Текст отсутствует]
135,568,2013-06-23 20:19:12,7,26,[Текст отсутствует]
136,552,2013-05-09 16:01:04,4,1,[Текст отсутствует]
137,543,2013-03-26 00:42:42,2,3,[Текст отсутствует]
138,537,2013-03-03 21:10:21,7,14,[Текст отсутствует]
